epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.9056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0184,1.8045,0.3464,0.369,1.0436,0.9565,0.1789,0.1621,0.1152,0.7134,0.9554
2,0.0001,0.7034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9643,1.6234,0.4713,0.5165,0.9867,0.9209,0.265,0.2578,0.201,0.6219,0.8766
3,0.0001,0.6415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9476,1.5257,0.509,0.5468,0.9673,0.9111,0.2992,0.2893,0.2277,0.6059,0.8519
4,0.0,0.5901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9292,1.5178,0.5219,0.5565,0.9294,0.86,0.2947,0.2785,-0.0449,0.5721,0.8452
5,0.0,0.5589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9215,1.4846,0.5385,0.5737,0.9177,0.8543,0.3061,0.2906,-0.0813,0.5635,0.8355
