epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021,1.0631,0.8031,0.8094,1.0668,0.881,0.4475,0.3819,0.1121,0.6931,0.7794
2,0.0001,0.6164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7908,1.0403,0.8288,0.8291,1.0095,0.8416,0.4971,0.4129,0.3258,0.6629,0.72
3,0.0001,0.5732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317,0.9049,0.8364,0.837,0.9461,0.7869,0.518,0.4415,0.1373,0.5685,0.667
4,0.0001,0.5546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718,0.8866,0.8409,0.8414,0.9069,0.7302,0.5411,0.4649,0.1982,0.5466,0.6395
5,0.0001,0.5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364,0.9196,0.8413,0.8422,0.8979,0.7672,0.5237,0.452,0.1187,0.5547,0.6337
6,0.0001,0.5207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7014,0.8348,0.8502,0.8501,0.8681,0.7308,0.5552,0.4857,0.0366,0.4975,0.6146
7,0.0001,0.5088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7016,0.8355,0.8501,0.851,0.8541,0.731,0.5754,0.5026,-0.0233,0.4957,0.6025
8,0.0001,0.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974,0.8339,0.8518,0.8513,0.8598,0.7208,0.5633,0.5021,0.1027,0.5165,0.6022
9,0.0001,0.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912,0.8182,0.8571,0.858,0.8106,0.7158,0.5609,0.486,0.0266,0.4636,0.5689
10,0.0001,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7137,0.8559,0.8538,0.853,0.8502,0.738,0.5629,0.5038,0.1976,0.5072,0.5919
