epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8254,1.1299,0.7952,0.7996,1.0919,0.8447,0.4966,0.459,0.1389,0.753,0.8013
2,0.0001,0.6886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8668,1.2082,0.7937,0.7954,1.0436,0.897,0.6201,0.5816,0.2033,0.7324,0.8018
3,0.0001,0.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7469,0.9351,0.832,0.8329,0.9543,0.7805,0.6295,0.5717,0.015,0.5943,0.6891
4,0.0001,0.6138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.758,0.9531,0.8379,0.8399,0.9293,0.7882,0.6399,0.5879,0.1715,0.603,0.6686
5,0.0001,0.5939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8601,1.1927,0.8425,0.8426,0.9988,0.8781,0.6317,0.5856,0.5349,0.771,0.7483
6,0.0001,0.5755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226,0.8652,0.8456,0.8432,0.8741,0.7291,0.6638,0.5975,-0.0758,0.549,0.6362
7,0.0001,0.5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7277,0.8979,0.8443,0.8411,0.8788,0.7495,0.6692,0.6231,-0.029,0.5586,0.6452
8,0.0001,0.5518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241,0.8691,0.8479,0.8465,0.8804,0.7669,0.6582,0.6047,-0.1899,0.5322,0.6426
9,0.0001,0.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046,0.8334,0.8521,0.8495,0.8237,0.7242,0.6624,0.6087,-0.0655,0.4714,0.5946
10,0.0001,0.5363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7161,0.8617,0.8525,0.8509,0.8432,0.7419,0.6767,0.6272,0.0469,0.5104,0.6034
11,0.0001,0.5274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905,0.799,0.8576,0.8545,0.8054,0.709,0.6866,0.6305,-0.0266,0.4345,0.5689
12,0.0001,0.5194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697,0.8239,0.8549,0.8512,0.8201,0.7206,0.6867,0.6315,-0.0147,0.4762,0.5802
13,0.0001,0.5154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6947,0.8069,0.8585,0.8564,0.8052,0.7082,0.6852,0.6414,0.0273,0.4536,0.5672
14,0.0001,0.5111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7023,0.8383,0.8578,0.8546,0.8113,0.7142,0.6718,0.6195,0.1972,0.4856,0.574
15,0.0001,0.5044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7156,0.855,0.8579,0.8559,0.8125,0.7282,0.6867,0.6419,0.1773,0.5134,0.5781
16,0.0001,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6899,0.7993,0.8579,0.8556,0.7857,0.6948,0.6848,0.6313,0.0095,0.4324,0.558
17,0.0001,0.4966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817,0.7822,0.8618,0.859,0.7693,0.6909,0.6915,0.6353,-0.1105,0.4086,0.5477
18,0.0001,0.4904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898,0.7954,0.8606,0.8602,0.774,0.7002,0.6977,0.6454,0.0315,0.423,0.5509
19,0.0001,0.4863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6973,0.8136,0.8616,0.8592,0.7828,0.7174,0.6992,0.6508,0.1516,0.4679,0.5589
