epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8262,1.1366,0.7933,0.8014,1.115,0.8883,0.4723,0.4143,-0.2461,0.7734,0.8414
2,0.0001,0.6211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,1.0037,0.8183,0.8216,0.9973,0.8087,0.495,0.4299,0.0973,0.6045,0.7208
3,0.0001,0.5772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7177,0.8713,0.8429,0.8449,0.9145,0.7601,0.5295,0.4736,-0.0826,0.5107,0.6436
4,0.0001,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7918,1.0442,0.833,0.8384,0.9735,0.8168,0.5206,0.4653,0.3147,0.6452,0.699
5,0.0001,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.8216,0.8527,0.8536,0.8577,0.7103,0.5708,0.4945,0.0278,0.4752,0.5947
6,0.0001,0.5187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7127,0.8625,0.8511,0.8515,0.8527,0.7489,0.5923,0.534,0.1749,0.4896,0.5859
7,0.0001,0.5068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7022,0.8402,0.8543,0.8545,0.8311,0.7338,0.5971,0.5411,0.2015,0.4636,0.571
8,0.0001,0.4941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811,0.7875,0.8594,0.8582,0.7904,0.7074,0.6118,0.5534,0.0029,0.4013,0.5487
9,0.0001,0.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927,0.8283,0.855,0.8557,0.84,0.7317,0.5841,0.5268,0.0841,0.4745,0.5796
10,0.0001,0.4819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942,0.8199,0.8559,0.8563,0.8144,0.7074,0.6228,0.5497,0.1167,0.4531,0.5605
11,0.0001,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6881,0.807,0.862,0.8613,0.8107,0.7247,0.6011,0.528,0.2294,0.4398,0.5463
12,0.0001,0.4664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704,0.7746,0.8614,0.8613,0.77,0.6981,0.6149,0.5553,0.074,0.3947,0.5321
13,0.0001,0.4606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775,0.779,0.8641,0.8636,0.7939,0.7047,0.6067,0.5427,-0.2072,0.4422,0.5607
14,0.0001,0.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.7647,0.864,0.8635,0.7836,0.693,0.6138,0.5504,0.0651,0.3965,0.533
15,0.0001,0.4498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6624,0.7652,0.8649,0.8649,0.7523,0.6819,0.6161,0.5395,0.0384,0.3756,0.5132
16,0.0001,0.4481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6723,0.7744,0.8643,0.8647,0.7787,0.6931,0.6051,0.5362,-0.0048,0.4008,0.5331
17,0.0001,0.4401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923,0.8029,0.8637,0.8639,0.7987,0.7261,0.6277,0.57,0.2014,0.4233,0.5409
18,0.0001,0.4362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6601,0.7474,0.8668,0.8664,0.7643,0.6888,0.6253,0.5682,-0.0088,0.3796,0.5241
19,0.0001,0.4351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.7412,0.8679,0.8681,0.7462,0.674,0.623,0.5673,0.0772,0.3622,0.5059
20,0.0001,0.4308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607,0.7549,0.8664,0.8674,0.7668,0.6818,0.635,0.5735,0.0788,0.3923,0.5221
21,0.0001,0.4276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6633,0.7567,0.8658,0.8642,0.7726,0.7046,0.6343,0.5728,0.0742,0.4116,0.5266
22,0.0001,0.4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.7875,0.8661,0.8663,0.795,0.7051,0.6153,0.555,0.2033,0.4355,0.5361
23,0.0001,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6653,0.7604,0.8672,0.867,0.775,0.7056,0.6113,0.5481,0.0937,0.3977,0.5216
24,0.0001,0.4172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6623,0.7535,0.8687,0.8678,0.755,0.6813,0.628,0.5683,0.0814,0.3906,0.5108
25,0.0001,0.4148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698,0.7758,0.8653,0.8651,0.7956,0.6839,0.6175,0.5622,0.1439,0.4316,0.5368
26,0.0001,0.4116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6508,0.7357,0.8694,0.868,0.771,0.6956,0.6014,0.5488,-0.0611,0.3875,0.5206
27,0.0001,0.4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6651,0.7635,0.8683,0.8678,0.7846,0.7041,0.6036,0.5461,0.082,0.4032,0.5257
28,0.0001,0.4041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483,0.7314,0.8701,0.8703,0.7514,0.6829,0.6015,0.5377,0.0036,0.3581,0.5118
29,0.0001,0.4027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,0.7331,0.871,0.8695,0.764,0.693,0.6284,0.5602,-0.0761,0.3948,0.5173
30,0.0001,0.4004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568,0.7459,0.869,0.8686,0.7614,0.6933,0.6065,0.5589,0.0454,0.3685,0.5101
31,0.0001,0.3963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6515,0.736,0.8699,0.8688,0.7689,0.6833,0.6283,0.5709,-0.0126,0.3854,0.5199
32,0.0001,0.3943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6679,0.7673,0.8671,0.8658,0.7866,0.6923,0.6155,0.5567,0.0536,0.4091,0.5283
33,0.0001,0.3914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521,0.7362,0.8691,0.8681,0.7777,0.6855,0.6284,0.5731,-0.0405,0.3785,0.5241
34,0.0001,0.3901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478,0.7293,0.8714,0.8693,0.7666,0.6814,0.6275,0.5593,-0.0914,0.3805,0.5196
35,0.0001,0.3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484,0.7384,0.87,0.8685,0.7574,0.6701,0.6265,0.568,0.0195,0.3716,0.5105
36,0.0001,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646,0.727,0.8706,0.8698,0.7768,0.6866,0.6045,0.5468,0.0537,0.3821,0.5201
37,0.0001,0.3828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6479,0.7299,0.871,0.8711,0.7512,0.6865,0.6265,0.5687,0.0632,0.3524,0.5039
38,0.0001,0.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6474,0.7333,0.8699,0.8688,0.7535,0.6612,0.6018,0.5318,-0.0459,0.3712,0.5139
39,0.0001,0.3785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478,0.7351,0.8711,0.8708,0.763,0.6828,0.6315,0.5706,0.0492,0.3573,0.5087
40,0.0001,0.3755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6459,0.722,0.8725,0.8703,0.752,0.6744,0.6382,0.571,0.0396,0.3543,0.5034
41,0.0001,0.3724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412,0.7179,0.8736,0.8723,0.7415,0.6591,0.6231,0.5546,0.0624,0.3443,0.4937
