epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,1.1477,0.8038,0.8079,1.1477,0.8867,0.4589,0.4026,0.4157,0.8131,0.8316
2,0.0001,0.6158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7729,1.0166,0.8233,0.8245,1.064,0.8593,0.4879,0.4359,0.3097,0.7262,0.7566
3,0.0001,0.5748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7354,0.9271,0.8347,0.8335,0.9747,0.7802,0.5387,0.4921,0.0419,0.6128,0.6955
4,0.0001,0.5498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7356,0.923,0.8356,0.8326,0.9615,0.7899,0.5611,0.507,0.0309,0.6038,0.6809
5,0.0001,0.5298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385,0.9231,0.8399,0.8388,0.9472,0.7636,0.5506,0.4893,0.1886,0.6058,0.6648
6,0.0001,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7373,0.9283,0.85,0.8486,0.9092,0.7486,0.571,0.5023,0.2707,0.5892,0.6349
7,0.0001,0.5092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118,0.8682,0.8514,0.8488,0.9208,0.7433,0.5749,0.5155,0.1868,0.5614,0.6363
8,0.0001,0.4959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691,0.8191,0.8554,0.8533,0.882,0.7042,0.5915,0.5301,0.0461,0.504,0.6147
9,0.0001,0.4868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989,0.8443,0.8547,0.8535,0.9154,0.7358,0.5938,0.5285,0.2479,0.5737,0.6241
10,0.0001,0.4789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6871,0.8063,0.8585,0.8564,0.8465,0.7079,0.591,0.5331,0.0659,0.4867,0.5823
11,0.0001,0.4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6893,0.8198,0.8578,0.8562,0.8608,0.7153,0.6034,0.5534,0.1962,0.5192,0.5893
12,0.0001,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978,0.8378,0.8521,0.8511,0.8604,0.7231,0.6005,0.5423,-0.0331,0.5256,0.6027
13,0.0001,0.4659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6963,0.8267,0.8615,0.8599,0.8538,0.7062,0.6084,0.5475,0.2441,0.5327,0.5845
14,0.0001,0.4568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6892,0.8154,0.8596,0.8575,0.8599,0.7174,0.5828,0.5263,0.1052,0.5123,0.5861
15,0.0001,0.4541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833,0.8171,0.861,0.8588,0.8429,0.6973,0.5916,0.5371,0.2286,0.5119,0.5726
16,0.0001,0.4512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6751,0.7878,0.8618,0.8602,0.8074,0.6939,0.6047,0.5614,0.0776,0.4608,0.5556
17,0.0001,0.4428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6943,0.8233,0.8644,0.861,0.8297,0.7023,0.6213,0.5743,0.2115,0.5135,0.5633
18,0.0001,0.4398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682,0.7748,0.8652,0.8619,0.8028,0.6829,0.6121,0.5554,0.1565,0.4453,0.547
19,0.0001,0.4346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6736,0.7845,0.8623,0.8602,0.8384,0.7051,0.5751,0.54,0.1287,0.4864,0.5755
20,0.0001,0.4346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6637,0.7654,0.8668,0.8637,0.8171,0.6773,0.6317,0.5723,0.1019,0.455,0.5532
21,0.0001,0.4274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759,0.7974,0.8609,0.8571,0.8098,0.6742,0.6061,0.5657,0.1764,0.4679,0.5564
22,0.0001,0.4235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6734,0.7882,0.8657,0.8636,0.8073,0.6797,0.6197,0.5698,0.1104,0.481,0.5498
23,0.0001,0.4242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665,0.7668,0.8663,0.8622,0.8094,0.6764,0.6173,0.5639,0.1274,0.4639,0.5462
24,0.0001,0.4197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6622,0.7655,0.8679,0.8646,0.8132,0.6597,0.6168,0.5684,0.1604,0.4616,0.5504
25,0.0001,0.4157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.7556,0.8682,0.865,0.7965,0.6703,0.6174,0.5649,0.1003,0.45,0.5391
26,0.0001,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551,0.7502,0.8693,0.8657,0.7932,0.6671,0.6066,0.565,0.096,0.433,0.5387
27,0.0001,0.4089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.793,0.8645,0.8618,0.8083,0.6787,0.6122,0.5575,0.2019,0.4739,0.5518
28,0.0001,0.4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567,0.7499,0.8699,0.8655,0.7949,0.6586,0.6207,0.5575,0.0946,0.4521,0.5381
29,0.0001,0.4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688,0.7717,0.8678,0.8651,0.8111,0.6721,0.618,0.5528,0.1524,0.4675,0.5476
30,0.0001,0.4008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631,0.767,0.8686,0.8647,0.8065,0.6626,0.6175,0.5668,0.1093,0.469,0.5479
31,0.0001,0.3987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.7714,0.8698,0.8663,0.7962,0.6706,0.6254,0.5742,0.1464,0.455,0.5356
32,0.0001,0.3959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6544,0.7466,0.8697,0.8661,0.8004,0.6718,0.6212,0.5708,0.1042,0.4436,0.5399
33,0.0001,0.3931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6528,0.7498,0.8697,0.8658,0.7832,0.6664,0.6254,0.5758,0.0663,0.4398,0.5287
34,0.0001,0.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6579,0.7587,0.8691,0.866,0.8004,0.6617,0.6372,0.5835,0.155,0.4556,0.5396
35,0.0001,0.3874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6498,0.7378,0.8711,0.8677,0.7829,0.6547,0.6287,0.5826,0.0735,0.4292,0.529
36,0.0001,0.3861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6519,0.7392,0.8712,0.8672,0.7686,0.6628,0.6158,0.557,0.0868,0.4164,0.519
37,0.0001,0.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497,0.739,0.8712,0.867,0.7791,0.6637,0.5987,0.543,0.0652,0.4274,0.5258
38,0.0001,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6545,0.7433,0.8707,0.8675,0.7742,0.6508,0.6209,0.5743,0.0931,0.4294,0.5245
39,0.0001,0.3787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6626,0.7666,0.8703,0.8668,0.7909,0.6641,0.6235,0.5595,0.1588,0.4604,0.5332
40,0.0001,0.3776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6613,0.7642,0.8712,0.8682,0.7796,0.6841,0.6125,0.551,0.1306,0.4466,0.5279
