epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8074,1.1171,0.7926,0.7937,1.1525,0.9121,0.4343,0.3649,0.0348,0.7632,0.8733
2,0.0001,0.6858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045,1.079,0.8003,0.7999,1.173,0.908,0.4502,0.3827,0.1719,0.7941,0.8732
3,0.0001,0.6422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,1.1519,0.8131,0.8163,1.1502,0.9184,0.4573,0.3951,0.3825,0.8236,0.8571
4,0.0001,0.6112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7644,0.9895,0.8217,0.8176,1.0764,0.8284,0.4761,0.4205,0.0424,0.6937,0.7824
5,0.0001,0.5872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7747,1.0217,0.8232,0.8206,1.0804,0.8681,0.4626,0.4045,0.2073,0.716,0.7848
6,0.0001,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7454,0.9531,0.8294,0.8251,1.0311,0.802,0.469,0.3964,0.1293,0.6622,0.7388
7,0.0001,0.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7405,0.9466,0.8316,0.8288,1.0605,0.8052,0.4922,0.4131,0.093,0.7066,0.7632
8,0.0001,0.5518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194,0.8874,0.84,0.8356,1.0132,0.7538,0.4908,0.4064,-0.0696,0.6347,0.7315
9,0.0001,0.5401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7297,0.9211,0.842,0.837,0.9863,0.7467,0.4866,0.4031,0.1059,0.6297,0.7092
10,0.0001,0.5309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7187,0.916,0.8364,0.8305,1.0198,0.7742,0.4901,0.401,-0.2335,0.6563,0.7537
11,0.0001,0.5241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7265,0.9,0.8419,0.8389,1.0042,0.7723,0.506,0.4405,-0.2293,0.6497,0.7385
12,0.0001,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073,0.8662,0.8445,0.8398,0.9843,0.756,0.4803,0.408,-0.1578,0.6199,0.7143
13,0.0001,0.5117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046,0.8777,0.8409,0.8366,0.9808,0.73,0.4966,0.4242,-0.1762,0.6247,0.7133
14,0.0001,0.5084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086,0.8665,0.8464,0.8403,0.9561,0.7529,0.533,0.4504,0.0557,0.612,0.6798
15,0.0001,0.5014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7184,0.8893,0.8463,0.8416,0.9623,0.7625,0.4879,0.4007,-0.3433,0.6296,0.7109
16,0.0001,0.4984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119,0.8803,0.8425,0.8378,0.9587,0.73,0.5151,0.4371,-0.2369,0.6204,0.703
17,0.0001,0.4938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6992,0.8484,0.8473,0.8431,0.9171,0.7145,0.511,0.4345,-0.1941,0.5586,0.667
18,0.0001,0.4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.8331,0.8498,0.8463,0.9061,0.7176,0.5197,0.4438,-0.1505,0.5439,0.6552
19,0.0001,0.4858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6924,0.845,0.8484,0.8436,0.9216,0.726,0.5123,0.4319,-0.1407,0.5589,0.6633
20,0.0001,0.4821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912,0.8276,0.8514,0.8467,0.8639,0.6886,0.5179,0.4263,-0.0734,0.508,0.6288
21,0.0001,0.4783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987,0.8573,0.8482,0.8436,0.8916,0.7105,0.5271,0.4379,-0.0233,0.5493,0.6416
22,0.0001,0.4756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964,0.8597,0.8492,0.8438,0.9076,0.7166,0.5076,0.4205,-0.3076,0.5816,0.6706
23,0.0001,0.4696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913,0.8546,0.8456,0.8439,0.9294,0.7077,0.5279,0.4664,-0.1901,0.559,0.6712
24,0.0001,0.4652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6887,0.8403,0.8514,0.8457,0.9191,0.7108,0.5436,0.4628,-0.1817,0.5563,0.662
25,0.0001,0.4646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6907,0.8377,0.8501,0.8454,0.8803,0.6849,0.508,0.4352,-0.0853,0.5294,0.6383
26,0.0001,0.4594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7029,0.8516,0.8477,0.8457,0.9185,0.7286,0.5224,0.4513,-0.215,0.55,0.6667
27,0.0001,0.4583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6863,0.8196,0.8524,0.8476,0.8794,0.7108,0.5384,0.4611,-0.1518,0.5196,0.6318
28,0.0001,0.4528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6889,0.8426,0.8497,0.8458,0.8967,0.6958,0.548,0.4774,-0.1598,0.5356,0.6495
29,0.0001,0.4496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919,0.8295,0.8503,0.8487,0.8688,0.694,0.5343,0.4499,-0.1001,0.5144,0.6273
30,0.0001,0.4456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6962,0.8436,0.8479,0.8435,0.9098,0.7208,0.5202,0.4569,-0.1129,0.5394,0.6505
31,0.0001,0.4452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686,0.8246,0.8527,0.8505,0.8765,0.7,0.5175,0.4369,-0.0656,0.5202,0.6221
32,0.0001,0.4398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.8318,0.8515,0.8472,0.8753,0.6996,0.5177,0.4441,-0.1183,0.5121,0.6282
33,0.0001,0.4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6906,0.8451,0.851,0.8494,0.8816,0.7129,0.5178,0.4434,-0.1458,0.5106,0.6331
34,0.0001,0.4374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912,0.8357,0.8494,0.8449,0.887,0.7148,0.5518,0.4844,-0.1675,0.5302,0.6409
35,0.0001,0.4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794,0.8163,0.8531,0.8497,0.8263,0.6933,0.5545,0.4843,-0.1554,0.4724,0.5958
36,0.0001,0.4301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6801,0.8119,0.8541,0.8497,0.837,0.6894,0.5276,0.4479,-0.1816,0.4764,0.6052
37,0.0001,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921,0.8371,0.8488,0.8468,0.8661,0.7115,0.5302,0.4635,-0.1321,0.4964,0.6187
38,0.0001,0.4225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.8471,0.8505,0.8483,0.8671,0.6976,0.5293,0.4545,-0.2007,0.5163,0.6271
39,0.0001,0.4234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927,0.8467,0.8495,0.8465,0.8624,0.6983,0.5232,0.4403,-0.1222,0.5008,0.6238
40,0.0001,0.4178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687,0.832,0.8529,0.8486,0.8423,0.6835,0.5134,0.4361,-0.1057,0.4763,0.6034
41,0.0001,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808,0.8195,0.8538,0.8487,0.8513,0.7012,0.5098,0.4309,-0.1416,0.4904,0.6113
42,0.0001,0.4149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6816,0.8229,0.8526,0.8495,0.8577,0.6853,0.5309,0.453,-0.1518,0.4897,0.6181
