epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.9055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756,1.4218,0.3192,0.2682,1.0097,0.84,0.4053,0.3714,0.3594,0.6507,0.8433
2,0.0001,0.7116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473,1.1834,0.3671,0.286,0.9323,0.8362,0.3319,0.2564,-0.4235,0.6168,0.731
3,0.0001,0.6458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254,1.3405,0.3467,0.3126,0.9219,0.8033,0.4042,0.3867,0.065,0.5423,0.7967
4,0.0,0.5958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309,1.1304,0.4103,0.3984,0.892,0.7644,0.4182,0.4128,-0.0316,0.4852,0.7017
5,0.0,0.5606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222,1.1294,0.3919,0.3523,0.894,0.8086,0.3886,0.3664,-0.2317,0.5279,0.6959
