epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,1.2031,0.7934,0.7999,1.0629,0.9106,0.4607,0.415,0.236,0.762,0.7986
2,0.0001,0.6769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187,1.0896,0.8042,0.8117,1.0434,0.9038,0.4691,0.4349,0.1987,0.7188,0.77
3,0.0001,0.6413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8183,1.0969,0.8115,0.8167,0.9534,0.8185,0.5191,0.4683,0.032,0.6528,0.7193
4,0.0001,0.6118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597,0.9838,0.828,0.8279,0.99,0.8185,0.4391,0.3859,-0.4437,0.6778,0.7485
5,0.0001,0.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281,0.882,0.8387,0.8402,0.8899,0.7437,0.5102,0.4535,-0.1132,0.5444,0.6496
6,0.0001,0.5736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209,0.8783,0.8428,0.8437,0.9188,0.7509,0.4554,0.3949,-0.2642,0.5545,0.6734
7,0.0001,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379,0.8876,0.84,0.8439,0.8897,0.7516,0.535,0.4802,0.0064,0.5542,0.6469
8,0.0001,0.5519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7017,0.8392,0.8482,0.8505,0.8888,0.7376,0.5295,0.4756,-0.2668,0.5432,0.6482
9,0.0001,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.9377,0.8456,0.8452,0.8816,0.7604,0.4802,0.4305,0.0583,0.5659,0.6444
10,0.0001,0.5342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7111,0.8578,0.8489,0.8516,0.8611,0.7229,0.5155,0.4516,0.0221,0.5336,0.6135
11,0.0001,0.5285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266,0.8862,0.8467,0.8488,0.8493,0.727,0.5087,0.4573,0.0163,0.5269,0.6143
12,0.0001,0.5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7093,0.8512,0.849,0.8477,0.8713,0.7411,0.547,0.4949,-0.1032,0.5392,0.624
13,0.0001,0.5133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715,0.9886,0.8521,0.8533,0.9015,0.7658,0.5509,0.504,0.2786,0.6321,0.6642
14,0.0001,0.5098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7104,0.8516,0.8544,0.8556,0.8438,0.7226,0.5672,0.5177,0.0724,0.5292,0.6019
15,0.0001,0.5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251,0.88,0.8521,0.8539,0.8524,0.7221,0.5471,0.4879,0.0214,0.5404,0.6178
16,0.0001,0.4987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6911,0.8185,0.8523,0.853,0.8545,0.7161,0.5682,0.5219,-0.2173,0.5304,0.6144
17,0.0001,0.4956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7052,0.8389,0.8541,0.8535,0.8244,0.7322,0.5598,0.509,0.0499,0.4988,0.5889
18,0.0001,0.4905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096,0.8361,0.8482,0.8518,0.8557,0.7251,0.5546,0.5088,-0.0151,0.5122,0.6108
19,0.0001,0.4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6904,0.815,0.8545,0.8545,0.8142,0.7057,0.5589,0.4988,-0.0108,0.4913,0.5824
20,0.0001,0.4811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.822,0.8546,0.8541,0.8283,0.725,0.5892,0.534,-0.047,0.5037,0.5916
21,0.0001,0.4764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6851,0.7943,0.8561,0.8563,0.8166,0.7112,0.5852,0.5375,-0.0643,0.4813,0.5822
22,0.0001,0.4751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.8202,0.8545,0.8544,0.831,0.6976,0.5733,0.5282,-0.0458,0.5003,0.5954
23,0.0001,0.4717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6917,0.8126,0.8531,0.8536,0.8088,0.6976,0.5738,0.5247,-0.1049,0.4781,0.5824
24,0.0001,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,0.814,0.8551,0.8548,0.8419,0.7108,0.5808,0.5349,0.0413,0.5038,0.5947
25,0.0001,0.4636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6846,0.808,0.8542,0.8537,0.8178,0.6879,0.614,0.5725,-0.0083,0.4847,0.5848
26,0.0001,0.4601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7005,0.8354,0.8575,0.8561,0.8518,0.7251,0.5639,0.5249,0.0635,0.5232,0.596
