epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8197,1.1146,0.7942,0.8012,1.0701,0.8867,0.4471,0.3991,0.1116,0.763,0.8045
2,0.0001,0.6785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853,1.0298,0.8137,0.8167,1.0057,0.8405,0.4164,0.3756,-0.0536,0.6809,0.7632
3,0.0001,0.6376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8008,1.0776,0.8229,0.828,0.9828,0.834,0.4274,0.3827,-0.2925,0.6866,0.7628
4,0.0001,0.6044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7485,0.9499,0.8311,0.8352,0.9484,0.7977,0.412,0.3779,0.0984,0.6161,0.6938
5,0.0001,0.5918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7554,0.9573,0.8369,0.8393,0.9704,0.7856,0.4717,0.4468,0.1611,0.6336,0.7106
6,0.0001,0.5749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7286,0.9121,0.8357,0.8347,0.9236,0.7719,0.4686,0.4278,-0.0593,0.5818,0.6821
7,0.0001,0.5577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7351,0.9049,0.8389,0.842,0.9232,0.7519,0.5119,0.464,0.0966,0.6071,0.6737
8,0.0001,0.5583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7151,0.8662,0.8454,0.8451,0.9215,0.7641,0.5044,0.4523,-0.1479,0.5915,0.6741
9,0.0001,0.5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7133,0.8747,0.8431,0.8429,0.9259,0.7444,0.5329,0.4842,0.1028,0.5863,0.6702
10,0.0001,0.5334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.8894,0.8434,0.8422,0.9059,0.7284,0.49,0.447,0.1357,0.5732,0.6595
11,0.0001,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.9086,0.8478,0.8467,0.8959,0.7646,0.464,0.4251,0.1245,0.5522,0.6458
12,0.0001,0.5213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.8788,0.8449,0.8475,0.9282,0.7807,0.5048,0.4624,-0.1824,0.6037,0.6771
13,0.0001,0.5136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179,0.8915,0.8408,0.8404,0.908,0.7504,0.4899,0.456,-0.0503,0.5559,0.6584
14,0.0001,0.5109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209,0.8844,0.8505,0.8519,0.9264,0.7592,0.5198,0.4788,0.2838,0.6162,0.6707
15,0.0001,0.5045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7047,0.8561,0.848,0.8484,0.9282,0.735,0.5543,0.4915,0.2539,0.5827,0.667
16,0.0001,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6946,0.8384,0.8499,0.8502,0.9362,0.734,0.5278,0.4754,0.1134,0.5845,0.6712
17,0.0001,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019,0.8464,0.8479,0.8481,0.9295,0.7273,0.5365,0.4737,0.0649,0.5949,0.6719
18,0.0001,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.8244,0.852,0.8521,0.9098,0.7283,0.5641,0.5109,0.1298,0.5645,0.6505
19,0.0001,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6894,0.8289,0.8515,0.8508,0.8949,0.7081,0.5396,0.4893,0.1192,0.535,0.6452
20,0.0001,0.4859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949,0.8348,0.8511,0.8501,0.9245,0.7286,0.5321,0.4843,0.0585,0.5678,0.6685
21,0.0001,0.4803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6983,0.8411,0.8481,0.8489,0.9226,0.7425,0.5642,0.5073,0.0144,0.5794,0.6649
22,0.0001,0.4755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697,0.828,0.8514,0.8534,0.8723,0.736,0.5735,0.5198,0.073,0.5444,0.6236
23,0.0001,0.4684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919,0.8169,0.8547,0.8549,0.8653,0.7242,0.571,0.5222,0.1532,0.5258,0.6163
24,0.0001,0.4673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7032,0.8549,0.8501,0.8497,0.9521,0.7121,0.5497,0.4927,0.211,0.6093,0.6995
25,0.0001,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6863,0.8191,0.8536,0.852,0.896,0.6945,0.5539,0.5001,0.1876,0.5427,0.6432
26,0.0001,0.4612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6854,0.8108,0.8564,0.8555,0.8715,0.6822,0.5473,0.4921,0.1616,0.5298,0.6205
27,0.0001,0.4583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6843,0.8076,0.8547,0.855,0.8891,0.7107,0.5538,0.504,0.1101,0.5325,0.6395
28,0.0001,0.4557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6805,0.8043,0.8565,0.8551,0.8905,0.7242,0.5683,0.5101,0.1298,0.5394,0.6355
29,0.0001,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814,0.8034,0.856,0.8545,0.8731,0.7043,0.5788,0.5271,0.066,0.5233,0.6206
30,0.0001,0.4476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6828,0.8078,0.8554,0.8535,0.9104,0.721,0.5317,0.4741,-0.007,0.5658,0.6538
31,0.0001,0.4449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807,0.8063,0.8561,0.8543,0.8783,0.6995,0.5653,0.5146,0.102,0.5462,0.6252
32,0.0001,0.4415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6873,0.8107,0.8545,0.8543,0.8834,0.7242,0.5531,0.5048,0.0006,0.5568,0.6375
33,0.0001,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745,0.7932,0.8582,0.8563,0.8673,0.6961,0.5699,0.5201,0.1325,0.5129,0.6156
