epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,1.0539,0.814,0.8183,1.0361,0.8795,0.4043,0.366,0.1472,0.6713,0.756
2,0.0001,0.6167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7914,1.0493,0.823,0.8241,0.9916,0.8445,0.4437,0.3835,0.3308,0.6695,0.7227
3,0.0001,0.5756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7764,1.015,0.8362,0.8383,0.9614,0.852,0.4725,0.4258,0.3647,0.6471,0.6957
4,0.0001,0.5491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.8838,0.846,0.8468,0.8918,0.7649,0.4537,0.4067,0.1124,0.5496,0.6368
5,0.0001,0.5308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727,0.8952,0.8449,0.8476,0.8669,0.7601,0.4563,0.411,0.1876,0.524,0.6183
6,0.0001,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073,0.8495,0.8537,0.8528,0.8448,0.7578,0.5291,0.4557,-0.1007,0.5197,0.622
7,0.0001,0.5095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019,0.8391,0.8523,0.854,0.8304,0.717,0.5227,0.4748,0.1143,0.4841,0.5914
8,0.0001,0.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6834,0.799,0.8616,0.8608,0.7811,0.683,0.5568,0.4932,0.1767,0.4404,0.5554
9,0.0001,0.4903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987,0.8233,0.8606,0.8604,0.8169,0.7369,0.5391,0.481,-0.1406,0.4844,0.5927
10,0.0001,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829,0.7919,0.8632,0.8625,0.7963,0.7184,0.5572,0.5005,-0.0972,0.4539,0.573
11,0.0001,0.4758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764,0.778,0.8654,0.8646,0.8022,0.6879,0.5375,0.477,0.1114,0.4458,0.5611
12,0.0001,0.4719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711,0.7765,0.864,0.8637,0.788,0.6755,0.5649,0.5128,0.0773,0.4328,0.5535
13,0.0001,0.4655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6748,0.7685,0.8671,0.8661,0.7742,0.6733,0.5768,0.521,0.0699,0.4258,0.5448
