epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8104,1.1127,0.7887,0.7985,1.002,0.8711,0.4592,0.4042,0.0417,0.6528,0.7515
2,0.0001,0.6882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,1.1887,0.8093,0.8146,1.0325,0.9101,0.4837,0.4194,0.4915,0.7467,0.7629
3,0.0001,0.6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731,1.0076,0.8135,0.8182,0.9336,0.8379,0.4348,0.3706,0.2159,0.5948,0.6775
4,0.0001,0.6142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295,0.9071,0.8303,0.8308,0.8793,0.7634,0.4996,0.4457,-0.1101,0.5224,0.641
5,0.0001,0.5943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7354,0.9029,0.8319,0.836,0.8882,0.7752,0.503,0.4429,-0.1498,0.5407,0.6472
6,0.0001,0.5768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521,0.9481,0.8365,0.8385,0.9146,0.7864,0.5019,0.4444,0.2599,0.5978,0.6472
7,0.0001,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7335,0.8951,0.8426,0.8448,0.8687,0.7566,0.5313,0.4763,-0.2359,0.5277,0.6428
8,0.0001,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7244,0.8941,0.8372,0.8376,0.8649,0.7666,0.4881,0.4275,0.0635,0.5317,0.6195
9,0.0001,0.5476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094,0.8576,0.8449,0.8452,0.8674,0.7592,0.5112,0.45,-0.1659,0.5241,0.6312
10,0.0001,0.5344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7315,0.9131,0.8402,0.8422,0.8916,0.7693,0.5237,0.4663,0.2586,0.5694,0.6288
11,0.0001,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935,0.8278,0.8453,0.8472,0.827,0.737,0.57,0.5024,-0.0206,0.4718,0.5901
12,0.0001,0.5206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937,0.8305,0.8451,0.8461,0.8341,0.7153,0.5349,0.4698,-0.0627,0.475,0.5938
13,0.0001,0.5138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.8324,0.8451,0.8461,0.8112,0.7229,0.5225,0.4582,0.0148,0.4659,0.5741
14,0.0001,0.5096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246,0.9103,0.8432,0.8439,0.864,0.7533,0.5479,0.493,0.1977,0.5548,0.6093
15,0.0001,0.5089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6903,0.818,0.8476,0.8479,0.8154,0.7233,0.5698,0.5096,-0.0706,0.476,0.572
16,0.0001,0.4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7006,0.8353,0.8481,0.8495,0.8023,0.7205,0.5695,0.5108,-0.0419,0.4578,0.5726
17,0.0001,0.4915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.8021,0.8524,0.8521,0.8129,0.7047,0.5534,0.4918,0.0427,0.4545,0.5696
18,0.0001,0.4891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6845,0.8116,0.8489,0.8482,0.7915,0.7225,0.574,0.5167,-0.0338,0.4443,0.5598
19,0.0001,0.4871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6966,0.8354,0.8449,0.8474,0.8124,0.7184,0.5702,0.502,-0.0648,0.4722,0.581
20,0.0001,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009,0.8508,0.846,0.8457,0.8093,0.736,0.5812,0.5095,0.1422,0.482,0.5678
21,0.0001,0.4782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905,0.82,0.8499,0.8504,0.7824,0.7043,0.5785,0.5155,0.0238,0.4229,0.5498
22,0.0001,0.4753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6754,0.7929,0.8535,0.8545,0.7834,0.7053,0.5772,0.5203,0.0224,0.4241,0.5438
23,0.0001,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044,0.8589,0.8491,0.8507,0.8224,0.7504,0.5699,0.5015,0.1963,0.4994,0.567
