epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.1496,0.7844,0.7897,1.0471,0.9027,0.5069,0.4367,-0.0458,0.7192,0.8087
2,0.0001,0.6812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8126,1.0832,0.8008,0.8073,1.0269,0.8712,0.5219,0.4661,-0.0174,0.6788,0.7802
3,0.0001,0.6327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7749,0.9915,0.8207,0.8248,0.9646,0.8381,0.5478,0.4868,0.1167,0.6215,0.7102
4,0.0001,0.6134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516,0.9526,0.8271,0.8296,0.9606,0.8169,0.5367,0.4802,-0.016,0.6058,0.7028
5,0.0001,0.5864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7621,0.9564,0.8283,0.831,0.9475,0.8018,0.5549,0.4844,0.0655,0.6003,0.696
6,0.0001,0.5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412,0.9264,0.8326,0.8342,0.8961,0.7966,0.534,0.4661,0.0823,0.5397,0.6516
7,0.0001,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742,0.9477,0.8313,0.833,0.899,0.7849,0.561,0.5048,0.0724,0.5388,0.6595
8,0.0001,0.5506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.9517,0.8254,0.828,0.9043,0.7865,0.5795,0.5131,-0.1098,0.5603,0.6712
9,0.0001,0.5456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7325,0.9055,0.8391,0.8389,0.8707,0.7513,0.569,0.5065,0.0832,0.5173,0.6293
10,0.0001,0.5365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,0.8623,0.8437,0.8447,0.826,0.7261,0.5635,0.4953,-0.0043,0.4542,0.6011
11,0.0001,0.5266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633,0.964,0.8378,0.8386,0.8911,0.7967,0.5643,0.4981,0.2009,0.5369,0.6532
12,0.0001,0.5178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.8745,0.8423,0.844,0.837,0.7456,0.5802,0.5275,-0.1708,0.4783,0.6135
13,0.0001,0.5158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737,0.9181,0.8453,0.8447,0.8757,0.7655,0.5631,0.4969,0.1446,0.5282,0.635
14,0.0001,0.5057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7173,0.8632,0.8494,0.849,0.8103,0.742,0.5484,0.4836,0.2031,0.4495,0.574
15,0.0001,0.5018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7151,0.853,0.8451,0.8467,0.8086,0.7311,0.588,0.5212,0.0273,0.4372,0.5827
16,0.0001,0.4964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7253,0.8908,0.8432,0.8428,0.8553,0.7645,0.553,0.4734,0.0749,0.481,0.62
17,0.0001,0.4959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7146,0.8578,0.8456,0.8454,0.8177,0.7304,0.5753,0.5144,-0.0008,0.4341,0.5916
18,0.0001,0.4884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.8621,0.8468,0.8451,0.8133,0.712,0.5918,0.527,-0.2215,0.4581,0.5984
19,0.0001,0.4849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7247,0.8816,0.8482,0.8494,0.816,0.741,0.5897,0.5254,0.2291,0.4598,0.5859
20,0.0001,0.4794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7017,0.8325,0.8509,0.85,0.7859,0.7376,0.5861,0.525,0.0963,0.4077,0.5551
21,0.0001,0.4757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703,0.8363,0.8539,0.8527,0.7857,0.7304,0.5759,0.5131,0.1453,0.4148,0.5552
22,0.0001,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6948,0.8152,0.8533,0.8536,0.7536,0.7035,0.5797,0.5175,-0.014,0.3766,0.5367
23,0.0001,0.4675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6991,0.8233,0.8512,0.8517,0.7584,0.7148,0.5867,0.5228,0.0137,0.3787,0.5457
24,0.0001,0.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927,0.8115,0.8533,0.853,0.764,0.7152,0.5717,0.5132,-0.0195,0.3824,0.5429
25,0.0001,0.4617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009,0.8332,0.8511,0.8505,0.7916,0.7132,0.578,0.5197,0.0034,0.403,0.5695
26,0.0001,0.4588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.8388,0.8496,0.8483,0.7804,0.7209,0.5876,0.52,0.0395,0.4155,0.5592
27,0.0001,0.4567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6983,0.8306,0.8503,0.8486,0.7906,0.6995,0.5768,0.5139,-0.1029,0.3976,0.5713
28,0.0001,0.4501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701,0.8417,0.8511,0.8492,0.7887,0.7051,0.5864,0.5316,-0.1501,0.4281,0.5758
29,0.0001,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7025,0.8325,0.855,0.8538,0.7821,0.7284,0.5786,0.5227,0.0957,0.4064,0.5574
