epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7898,1.0555,0.8099,0.815,1.0514,0.8597,0.4934,0.4332,0.1342,0.7017,0.7683
2,0.0001,0.6224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7494,0.9488,0.832,0.835,0.9728,0.8104,0.524,0.4898,0.2096,0.6218,0.6905
3,0.0001,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7305,0.9038,0.8394,0.8433,0.9287,0.7486,0.5381,0.5028,0.0645,0.5544,0.6621
4,0.0001,0.5507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7145,0.8722,0.8442,0.847,0.8595,0.7415,0.5661,0.5157,-0.0454,0.5102,0.6161
5,0.0001,0.5341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7126,0.8688,0.8478,0.8488,0.8872,0.7474,0.5425,0.494,0.1493,0.5289,0.622
6,0.0001,0.5181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949,0.8272,0.8529,0.8543,0.8608,0.719,0.5391,0.4887,0.0584,0.4901,0.6093
7,0.0001,0.5072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058,0.8534,0.8513,0.8522,0.8323,0.7147,0.5918,0.5438,0.0931,0.4878,0.5909
8,0.0001,0.4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6841,0.8003,0.8578,0.8583,0.824,0.6954,0.5822,0.5402,0.0117,0.4651,0.5801
9,0.0001,0.4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6852,0.8058,0.8564,0.8572,0.8328,0.7133,0.5613,0.5035,0.0472,0.4791,0.5928
10,0.0001,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6829,0.7986,0.8593,0.859,0.8136,0.6984,0.6125,0.5556,-0.1673,0.4651,0.582
11,0.0001,0.4769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6784,0.7895,0.8602,0.862,0.81,0.705,0.5878,0.5433,-0.0732,0.4394,0.5778
12,0.0001,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696,0.7681,0.8658,0.8665,0.7559,0.6485,0.6194,0.5592,0.0544,0.406,0.5347
13,0.0001,0.4624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824,0.7966,0.8621,0.8615,0.7502,0.6576,0.6233,0.5697,-0.1701,0.4112,0.5511
14,0.0001,0.4592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857,0.8036,0.863,0.8634,0.7671,0.6698,0.62,0.578,0.1171,0.4267,0.5439
15,0.0001,0.4568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6718,0.7746,0.8628,0.8636,0.7623,0.6496,0.6131,0.5724,-0.0102,0.4123,0.5411
16,0.0001,0.4503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6637,0.7543,0.8674,0.8674,0.7673,0.6675,0.6087,0.5612,-0.0032,0.421,0.5337
17,0.0001,0.4458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813,0.7887,0.8672,0.868,0.7867,0.6862,0.6174,0.573,0.1557,0.4669,0.5505
18,0.0001,0.4426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707,0.771,0.8669,0.8673,0.7422,0.6566,0.6327,0.5915,0.0707,0.4145,0.5231
19,0.0001,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.7394,0.8707,0.8713,0.7298,0.6505,0.6282,0.59,0.0548,0.3707,0.5102
20,0.0001,0.4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6583,0.7479,0.868,0.8691,0.7601,0.6603,0.6234,0.591,0.0779,0.4181,0.5336
21,0.0001,0.4303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499,0.723,0.8723,0.8727,0.7399,0.646,0.6508,0.5941,-0.0648,0.3967,0.5192
22,0.0001,0.4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661,0.7513,0.8691,0.8702,0.7664,0.6648,0.6399,0.5954,0.0295,0.4338,0.5384
23,0.0001,0.4234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608,0.746,0.8693,0.8699,0.7581,0.6552,0.6185,0.579,0.0337,0.3992,0.5275
24,0.0001,0.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521,0.7265,0.8718,0.8726,0.7232,0.6403,0.6489,0.6098,-0.0776,0.403,0.5106
25,0.0001,0.4178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.7259,0.8719,0.873,0.7269,0.6397,0.6424,0.5946,-0.0913,0.3778,0.5112
26,0.0001,0.4138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6571,0.7379,0.8718,0.8717,0.7513,0.6447,0.6147,0.5666,0.0208,0.4115,0.5252
