epoch,learning_rate,train_loss,valid_pooled_mae,valid_pooled_mse,valid_pooled_pearson,valid_pooled_spearman,valid_per_serum_mae_mean,valid_per_serum_mae_median,valid_within_serum_pearson_mean,valid_within_serum_spearman_mean,valid_serum_bias_mean,valid_serum_bias_abs_mean,valid_loss,test_pooled_mae,test_pooled_mse,test_pooled_pearson,test_pooled_spearman,test_per_serum_mae_mean,test_per_serum_mae_median,test_within_serum_pearson_mean,test_within_serum_spearman_mean,test_serum_bias_mean,test_serum_bias_abs_mean,test_loss
1,0.0001,0.8079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9016,1.3776,0.7872,0.7932,1.1505,0.9881,0.5086,0.4513,0.5838,0.8812,0.8605
2,0.0001,0.6173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7549,0.9669,0.8216,0.82,0.9672,0.7956,0.512,0.4372,0.067,0.5811,0.6898
3,0.0001,0.5737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017,1.1052,0.8249,0.8221,0.996,0.8583,0.5305,0.4611,0.3699,0.682,0.7202
4,0.0001,0.5458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256,0.8819,0.8428,0.8401,0.8891,0.7397,0.6051,0.5457,-0.1346,0.4966,0.6467
5,0.0001,0.5287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7544,0.9702,0.8338,0.8306,0.9225,0.801,0.6337,0.5741,0.3422,0.6143,0.6529
6,0.0001,0.5193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7147,0.8654,0.8426,0.8394,0.8611,0.7329,0.6158,0.5476,-0.0815,0.5039,0.6231
7,0.0001,0.5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084,0.8421,0.8469,0.843,0.8643,0.7203,0.6453,0.5841,-0.0355,0.4886,0.6176
8,0.0001,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7172,0.8761,0.8466,0.844,0.8473,0.7186,0.6469,0.5799,0.0992,0.5073,0.5954
9,0.0001,0.4872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6968,0.8355,0.8491,0.8448,0.8545,0.702,0.6703,0.611,0.0448,0.5213,0.6035
10,0.0001,0.4785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6963,0.8373,0.8473,0.8427,0.8308,0.6845,0.6494,0.5882,-0.0169,0.4882,0.5967
11,0.0001,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6916,0.8325,0.853,0.851,0.8253,0.6988,0.6643,0.6013,0.1518,0.4969,0.5762
12,0.0001,0.4662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.7818,0.8579,0.853,0.7928,0.6606,0.6528,0.5845,0.0198,0.4232,0.5622
13,0.0001,0.4597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6746,0.7995,0.8571,0.8524,0.8035,0.6675,0.6823,0.6229,-0.0231,0.4548,0.5696
14,0.0001,0.4584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807,0.8013,0.8587,0.8549,0.8164,0.6775,0.6639,0.597,-0.0677,0.4708,0.5759
15,0.0001,0.4532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6766,0.7874,0.8569,0.854,0.8015,0.6821,0.6739,0.6092,-0.0435,0.4325,0.5669
16,0.0001,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6772,0.7845,0.8581,0.8553,0.8051,0.6881,0.6916,0.6309,-0.013,0.4475,0.566
17,0.0001,0.4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6677,0.7657,0.8624,0.857,0.7754,0.6665,0.6809,0.6199,0.0197,0.4192,0.542
18,0.0001,0.4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6739,0.7795,0.8594,0.8558,0.7869,0.6824,0.6983,0.643,0.0712,0.4264,0.5523
19,0.0001,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707,0.7772,0.8618,0.8564,0.7988,0.6728,0.6866,0.6016,0.0154,0.448,0.5605
20,0.0001,0.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6668,0.7686,0.8643,0.8586,0.7717,0.6699,0.7151,0.6478,0.0331,0.4326,0.5427
21,0.0001,0.4272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6583,0.7567,0.8635,0.8606,0.7825,0.6626,0.6997,0.6399,-0.0279,0.4359,0.5483
22,0.0001,0.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609,0.7576,0.8651,0.8605,0.7945,0.6511,0.7059,0.64,0.0987,0.4396,0.5506
23,0.0001,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586,0.75,0.8655,0.8622,0.7811,0.6443,0.7045,0.6264,-0.0639,0.4183,0.545
24,0.0001,0.4176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764,0.7835,0.864,0.8615,0.7848,0.6582,0.7205,0.6603,0.1238,0.4672,0.5455
25,0.0001,0.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6597,0.7478,0.8658,0.8608,0.7696,0.6666,0.7217,0.6559,0.0293,0.4234,0.5365
26,0.0001,0.4122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6577,0.7495,0.8647,0.8604,0.7722,0.6573,0.7192,0.6625,-0.0101,0.4217,0.5392
27,0.0001,0.4077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6602,0.7518,0.865,0.8622,0.7879,0.6477,0.7069,0.6425,-0.0386,0.4296,0.5495
28,0.0001,0.4047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6578,0.7478,0.8663,0.862,0.7602,0.6642,0.708,0.6433,0.0913,0.4194,0.5284
29,0.0001,0.4036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6565,0.7479,0.8675,0.8634,0.7755,0.6566,0.7174,0.6567,0.0101,0.4276,0.5328
30,0.0001,0.4002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494,0.739,0.867,0.8634,0.7791,0.6648,0.7123,0.6459,-0.0425,0.4306,0.5469
31,0.0001,0.3974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6519,0.7334,0.8677,0.8632,0.7559,0.6541,0.7124,0.6429,-0.0193,0.397,0.5291
32,0.0001,0.3935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568,0.7517,0.8661,0.8612,0.7646,0.6663,0.7155,0.6581,-0.1006,0.4014,0.5429
33,0.0001,0.3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606,0.7553,0.8653,0.8607,0.7777,0.6678,0.6979,0.6498,-0.0317,0.4246,0.5408
34,0.0001,0.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484,0.7264,0.8694,0.8639,0.7517,0.6396,0.7204,0.6548,0.0126,0.3921,0.5247
35,0.0001,0.3868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6552,0.7454,0.8694,0.8649,0.7932,0.6714,0.7254,0.6614,0.0829,0.4485,0.5434
36,0.0001,0.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568,0.7509,0.8675,0.864,0.7801,0.6685,0.7308,0.6612,0.0344,0.4355,0.5403
37,0.0001,0.3814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6522,0.7349,0.8674,0.8633,0.7702,0.6524,0.7197,0.6537,-0.0486,0.4161,0.5412
38,0.0001,0.3795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6445,0.7258,0.8695,0.8649,0.7651,0.6405,0.7239,0.6623,-0.0266,0.4052,0.5333
39,0.0001,0.3778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6469,0.7314,0.868,0.8632,0.77,0.6479,0.7225,0.6492,-0.014,0.4132,0.5385
40,0.0001,0.3755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6554,0.7519,0.8661,0.8624,0.7879,0.673,0.7242,0.6688,0.0713,0.4316,0.5441
41,0.0001,0.3724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6476,0.7299,0.869,0.8646,0.766,0.6583,0.7304,0.6771,-0.0448,0.3965,0.5276
42,0.0001,0.3704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6506,0.7384,0.8698,0.865,0.7771,0.6645,0.7326,0.6783,0.0088,0.4198,0.533
43,0.0001,0.3677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6432,0.7235,0.8701,0.8657,0.7647,0.6647,0.7184,0.6533,0.0376,0.4029,0.5277
44,0.0001,0.3667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6536,0.7468,0.8677,0.8621,0.7732,0.6526,0.7172,0.6599,-0.0045,0.4256,0.5341
45,0.0001,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6593,0.7541,0.8676,0.8643,0.7784,0.6744,0.7264,0.6606,0.0706,0.4361,0.539
46,0.0001,0.3626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6449,0.7286,0.8702,0.8652,0.7569,0.6387,0.7296,0.6637,0.0518,0.4149,0.5263
47,0.0001,0.3607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486,0.736,0.8702,0.8652,0.7767,0.662,0.7265,0.6652,0.0052,0.4277,0.5339
48,0.0001,0.3584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521,0.7421,0.8686,0.8654,0.7599,0.6567,0.7177,0.6502,0.0004,0.416,0.5271
49,0.0001,0.3571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478,0.7304,0.8695,0.8648,0.7518,0.638,0.7258,0.6612,0.013,0.3955,0.5241
50,0.0001,0.3546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6517,0.7442,0.8691,0.8651,0.7766,0.6502,0.7206,0.6594,0.0302,0.4258,0.5378
51,0.0001,0.3526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.7465,0.8703,0.8656,0.77,0.6621,0.7277,0.6629,0.0614,0.431,0.5312
52,0.0,0.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646,0.7327,0.8707,0.866,0.7532,0.6476,0.7225,0.6628,0.0718,0.4011,0.5204
53,0.0,0.3497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431,0.7246,0.8696,0.8652,0.7466,0.6521,0.719,0.6432,-0.0466,0.3872,0.5189
54,0.0,0.3483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6398,0.7189,0.8709,0.8664,0.7483,0.6508,0.7252,0.6547,0.0249,0.389,0.5187
55,0.0,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458,0.7278,0.8707,0.8663,0.7438,0.6426,0.7201,0.6558,-0.0231,0.3914,0.5193
56,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6457,0.731,0.8693,0.8658,0.7628,0.6609,0.7283,0.6589,0.0194,0.4026,0.5243
57,0.0,0.3425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418,0.7217,0.8708,0.8655,0.7502,0.6416,0.7253,0.6621,-0.0166,0.3919,0.5223
58,0.0,0.3418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6447,0.7267,0.8705,0.8659,0.7519,0.6453,0.7229,0.6587,0.0221,0.3903,0.522
59,0.0,0.3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.7567,0.8691,0.8649,0.7587,0.6518,0.7229,0.6644,0.1178,0.4308,0.5267
60,0.0,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.7335,0.8705,0.8656,0.7592,0.6516,0.7227,0.6601,0.0117,0.41,0.5263
61,0.0,0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6447,0.7278,0.8696,0.8654,0.752,0.6351,0.7228,0.651,-0.0203,0.4033,0.5243
62,0.0,0.3358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.7304,0.8704,0.8667,0.7539,0.6403,0.7221,0.6584,0.0421,0.3987,0.5217
63,0.0,0.3347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6448,0.7317,0.8695,0.8657,0.7604,0.6511,0.7257,0.6569,-0.0144,0.4104,0.5275
64,0.0,0.3337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6452,0.7294,0.8695,0.866,0.7501,0.6408,0.7246,0.6553,-0.0138,0.388,0.5213
65,0.0,0.3322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.7302,0.8707,0.8661,0.7468,0.6392,0.7222,0.6576,0.0331,0.3899,0.5166
66,0.0,0.3322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6443,0.73,0.8714,0.8663,0.7441,0.6465,0.728,0.6592,0.0218,0.3882,0.518
67,0.0,0.3296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6466,0.7342,0.8706,0.8663,0.7527,0.6477,0.7231,0.6578,0.0391,0.4015,0.5217
68,0.0,0.3291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6434,0.7284,0.8706,0.8657,0.7499,0.6487,0.7253,0.6603,0.0079,0.4003,0.5215
69,0.0,0.3279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6442,0.7288,0.8704,0.8659,0.7499,0.6474,0.7248,0.6581,-0.0035,0.3903,0.5211
70,0.0,0.3266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411,0.7258,0.871,0.8669,0.7453,0.6462,0.728,0.6724,-0.0048,0.3896,0.5192
71,0.0,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6419,0.7239,0.8705,0.8665,0.744,0.636,0.7214,0.6527,-0.0168,0.3805,0.5201
72,0.0,0.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6424,0.725,0.8709,0.8663,0.7388,0.6357,0.7303,0.6628,-0.0009,0.3759,0.5171
73,0.0,0.3232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418,0.7255,0.8702,0.8659,0.7436,0.6284,0.7215,0.6529,-0.0014,0.3785,0.5186
74,0.0,0.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641,0.7226,0.8707,0.8661,0.7458,0.6332,0.7258,0.6635,-0.0195,0.3828,0.5208
75,0.0,0.3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639,0.7189,0.8712,0.8672,0.7444,0.6369,0.7277,0.6575,-0.0181,0.3776,0.5176
76,0.0,0.3209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6433,0.7292,0.8702,0.8659,0.7457,0.6337,0.7293,0.669,-0.0026,0.3859,0.5211
77,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387,0.7211,0.8716,0.8672,0.7382,0.6289,0.7305,0.6593,0.0125,0.3796,0.5146
78,0.0,0.3194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6453,0.7341,0.8707,0.8664,0.7451,0.6484,0.7274,0.6605,0.0333,0.3951,0.5189
79,0.0,0.3186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6453,0.7326,0.871,0.8668,0.7504,0.6358,0.7273,0.666,0.0337,0.4032,0.521
80,0.0,0.3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.7364,0.8708,0.8664,0.7514,0.6472,0.724,0.656,0.0364,0.3986,0.5226
81,0.0,0.3165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441,0.7284,0.8704,0.8662,0.7409,0.6373,0.7269,0.6642,-0.0062,0.3805,0.5182
82,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422,0.7267,0.8705,0.8664,0.741,0.6346,0.7255,0.6615,-0.0189,0.3778,0.5192
83,0.0,0.3166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411,0.7242,0.8707,0.8666,0.7403,0.6316,0.7258,0.6669,-0.0023,0.3778,0.5167
84,0.0,0.3152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6443,0.7319,0.871,0.8667,0.7447,0.6335,0.726,0.67,0.0069,0.391,0.5198
85,0.0,0.3141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422,0.727,0.871,0.8665,0.7402,0.6361,0.7284,0.6692,0.0182,0.3866,0.5176
86,0.0,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408,0.7264,0.8707,0.8665,0.7409,0.6302,0.727,0.6707,0.0034,0.3825,0.5182
87,0.0,0.3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418,0.727,0.8708,0.8667,0.7402,0.6336,0.7272,0.6695,-0.0059,0.3801,0.5175
88,0.0,0.3128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6407,0.7251,0.871,0.8669,0.7406,0.6297,0.7285,0.6697,0.0072,0.3812,0.5161
89,0.0,0.3135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421,0.7282,0.871,0.8668,0.742,0.6337,0.7267,0.6684,0.0216,0.3864,0.5168
90,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411,0.7249,0.8708,0.8667,0.739,0.6311,0.7271,0.6725,0.0031,0.3767,0.5157
91,0.0,0.3118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411,0.7255,0.871,0.8667,0.7396,0.6318,0.7273,0.6665,-0.001,0.3778,0.5165
92,0.0,0.3111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428,0.7287,0.8706,0.8663,0.7409,0.6326,0.7264,0.6693,0.0121,0.3818,0.5169
